Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,First Year,Last Year,Tenure,Consecutive,Positions
"Sundell, Yngve",verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,Direktör verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,vice ordförande,1971,1981,11,True,Direktör verkställande direktör | verkställande direktör | vice ordförande
"Munck af Rosenschöld, Hans",vice ordförande,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,vice ordförande,vice ordförande,vice ordförande,vice ordförande,,1971,1980,9,False,vice ordförande
"Bendz, Erik",ordförande,ordförande,ordförande,ordförande,ordförande,Direktör ordförande,ordförande,,,,,1971,1977,7,True,ordförande | Direktör ordförande
"Ugglas, Oscar",Kammarherre,Kammarherre,Kammarherre,Kammarherre,Kammarherre,Kammarherre,Kammarherre,,,,,1971,1977,7,True,Kammarherre
"Linderoth, Karl-Axel",,,,,,,Direktör,ordförande,ordförande,ordförande,ordförande,1977,1981,5,True,ordförande | Direktör
"Olson, Rune",,,,,,,Ingenjör,Ingenjör,Ingenjör,,ingenjör,1977,1981,5,True,Ingenjör | ingenjör
"Edgren, Bengt",,,,,,,suppleant,"Kamrer, suppleant",suppleant,suppleant,,1977,1980,4,True,"suppleant | Kamrer, suppleant"
"Ekelund, Göran",,,,,,,,Direktör,Direktör,,verkställande direktör,1978,1981,4,True,Direktör | verkställande direktör
"Dahlbäck, Claes",,,,,,,,,,,verkställande direktör,1981,1981,1,True,verkställande direktör
"Levin, Claes",,,,,,,,,,,verkställande direktör,1981,1981,1,True,verkställande direktör
"Lundberg, Per",,,,,,,,,,,Suppleant,1981,1981,1,True,Suppleant
"Munck, Hans",,,,,,Bankdirektör vice ordförande,,,,,,1976,1976,1,True,Bankdirektör vice ordförande
"Nilsson, Berit",,,,,,,,,,,sekreterare,1981,1981,1,True,sekreterare
