Name,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,First Year,Last Year,Tenure,Consecutive,Positions
"Sjödahl, Jan",,,,,,,,,,,,,,,,,,,,,,,,1906,1921,15,False,
"Edlind, W.",,,,,,,,,,,,,,,,,,,,,,,,1904,1923,14,False,
"
Åkerström, B.",,,,,,,,,,,,,,,,,,,,,,,,1906,1921,13,False,
"Cedercrantz, C.",,,,,,,,,,,,,,,,,,,,,,,,1908,1921,13,False,
"Peyron, Alfred",,,,,,,,,,,,,,,,,,,,,,,,1910,1921,12,True,
"Drakenberg, Jean",,,,,,,,,,,,,,,,,,,,,,,,1901,1910,10,True,
"Arfwedson., J.",,,,,,,,,,,,,,,,,,,,,,,,1916,1923,8,True,
"Lindberg., Henry",,,,,,,,,,,,,,,,,,,,,,,,1916,1921,6,True,
Edlind.,,,,,,,,,,,,,,,,,,,,,,,,1905,1919,5,False,
"Hedenblad, P. H.",,,,,,,,,,,,,,,,,,,,,,,,1901,1903,3,True,
"Hollstén, B.",,,,,,,,,,,,,,,,,,,,,,,,1901,1903,3,True,
"Stockenberg, John",,,,,,,,,,,,,,,,,,,,,,,,1906,1908,3,True,
"Aronowitsch, M.",,,,,,,,,,,,,,,,,,,,,,,,1922,1923,2,True,
"Liljewalch, Magnus",,,,,,,,,,,,,,,,,,,,,,,,1904,1905,2,True,
"Sandwall, A.",,,,,,,,,,,,,,,,,,,,,,,,1922,1923,2,True,
"Åkerström, B.",,,,,,,,,,,,,,,,,,,,,,,,1911,1920,2,False,
"""""., B.",,,,,,,,,,,,,,,,,,,,,,,,1908,1908,1,True,
"Appelqvist, J.",,,,,,,,,,,,,,,,,,,,,,,,1911,1911,1,True,
"Axelson, Henrik",,,,,,,,,,,,,,,,,,,,,,,,1908,1908,1,True,
"Brehmer, Ivan",,,,,,,,,,,,,,,,,,,,,,,,1923,1923,1,True,
Cedercrants,,,,,,,,,,,,,,,,,,,,,,,,1917,1917,1,True,
"Gisiko, Henrik",,,,,,,,,,,,,,,,,,,,,,,,1910,1910,1,True,
"Heijne, Emil",,,,,,,,,,,,,,,,,,,,,,,,1922,1922,1,True,
"Lavén, Georg",,,,,,,,,,,,,,,,,,,,,,,,1906,1906,1,True,
"Olsson, Emil",,,,,,,,,,,,,,,,,,,,,,,,1911,1911,1,True,
"Söderberg, Olof",,,,,,,,,,,,,,,,,,,,,,,,1909,1909,1,True,
"Söderström, A.",,,,,,,,,,,,,,,,,,,,,,,,1908,1908,1,True,
