Name,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1998,1999,2000,First Year,Last Year,Tenure,Consecutive,Positions
"SODERBERG, ERIK",,,,,Lönn,VERKST. DIR.,VERKST. DIR.,VERKST. DIR.,,,,,,,,,,,,,,ordf.,ordf,ordförande,ordförande,ordförande,ordförande,ordförande,Ordförande,,Styrelseledamöter,Styrelseledamot,Styrelseledamot,,Direktör,Direktör,Styrelseordförande,Styrelseordförande,Styrelseordförande,Styrelseordförande,Vice ordförande,Vice ordförande,Vice ordförande,,,,1957,1995,35,False,Lönn | VERKST. DIR. | Styrelseledamöter | ordf. | Direktör | Styrelseordförande | Vice ordförande | Styrelseledamot | Ordförande | ordförande | ordf
"SÖDERBERG, JOHAN",,,,,,,,,,,,,,,,,,VD,VD,,,,,,,,,,Styrelseledamot,,Styrelseledamöter,Styrelseledamot,Styrelseledamot,,Ekon dr H. C.,Ekon dr H.C.,Styrelseledamot,Styrelseledamot,Styrelseledamot,Styrelseledamot,,,Styrelseledamot,,,,1953,2000,32,False,Ekon dr H. C. | Styrelseledamöter | Ekon dr H.C. | Styrelseledamot | VD
"Laurin, Ulf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,Styrelseledamöter,Styrelseledamot,Styrelseledamot,,Direktör,Direktör,Styrelseledamot,Styrelseledamot,Styrelseledamot,Styrelseledamot,,,Styrelseledamot,,,,1970,1995,25,False,Direktör | Styrelseledamot | Styrelseledamöter
"Söderberg, Sven",,,,,,,,,,,,,,,,,,,,,,,Koncernchef,verkställande direktör,verkställande direktör,verkställande direktör,,verkställande direktör,Verkställande direktör,,Styrelseledamöter,Styrelseledamot,Verkställande direktör,,Generalkonsul,Generalkonsul,Verkställande direktör,Verkställande direktör,Verkställande direktör,Vice ordförande,Ordförande,Ordförande,Ordförande,,,,1972,1999,25,False,Styrelseledamöter | verkställande direktör | Verkställande direktör | Vice ordförande | Styrelseledamot | Ordförande | Koncernchef | Generalkonsul
"SÖDERBERG, RAGNAR",,,,,,,,,,,,,,,,,,ordf.,ordf.,ordf.,ordf.,,,,,,,,,,,,,,,,,,,,,,,,,,1953,1973,19,False,ordf.
"SUNDBLAD, LARS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1974,17,False,
"Faulkner, Harry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,Styrelseledamot,Styrelseledamot,Styrelseledamot,Styrelseledamot,,,Styrelseledamot,,,,1986,2000,13,False,Direktör | Styrelseledamot
"WEHTJE, WALTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,1969,11,False,
"Bern, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,Styrelseledamot,Styrelseledamot,,,Styrelseledamot,,,,1989,2000,9,False,Styrelseledamot
"Nilstein, Arne",,,,,,,,,,,,,,,,,,,,,,,,offentlig representant,offentlig ledamot,,,,Styrelseledamot,,,,,,,,,,,,,,,,,,1973,1981,9,True,Styrelseledamot | offentlig ledamot | offentlig representant
"Norin, Harry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,Styrelseledamöter,Styrelseledamot,Styrelseledamot,,Konsul,Konsul,,,,,,,,,,,1979,1988,9,False,Styrelseledamot | Konsul | Styrelseledamöter
WALLENBERG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,1969,8,False,
"Damgaard-Nielsen, Ole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,,Direktör,Direktör,Styrelseledamot,,,,,,,,,,1984,1989,6,True,Direktör | Styrelseledamot
"LÖNN, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1961,5,False,
"Stenhammar, Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Ordförande,Ordförande,Ordförande,1994,2000,5,False,Ordförande | Styrelseledamot
"Tiblom, Karl-Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,,,,,,,,,,,,,,,,,1977,1981,5,True,Styrelseledamot
"Fahlin, Roland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,,Styrelseledamot,,,,1992,1995,4,True,Styrelseledamot
"Mannerfelt, Carl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1978,4,True,
"Rydin, Bo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,Styrelseledamot,Styrelseledamot,Styrelseledamot,,,,,,,1989,1992,4,True,Styrelseledamot
"SÖDERBERG, T. O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,1959,4,False,
"Versteegh, Arend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseledamot,,Styrelseledamöter,,,,,,,,,,,,,,,,1979,1983,4,False,Styrelseledamot | Styrelseledamöter
"Bruzelius, Peggy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,2000,3,True,
"Grosskopf, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,2000,3,True,
"Jansson, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,,Verkställande direktör,,,,1992,1995,3,False,Verkställande direktör
SÖDERBERG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,1958,3,False,
"Hägerman, Johnny",,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,,,,,,,,,,,,,,,,,,,,1978,1979,2,True,arbetstagarrepresentant
"Jonsson, Rune",,,,,,,,,,,,,,,,,,,,,,,,,,,,styrelsesuppleant,Styrelsesuppleant,,,,,,,,,,,,,,,,,,1980,1981,2,True,styrelsesuppleant | Styrelsesuppleant
"Karlsson, Arne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,Verkställande direktör,1999,2000,2,True,Verkställande direktör
"Lilius, Mikael",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1999,2,True,
Lönn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,1958,2,False,
"Nordberg, Ivar",,,,,,,,,,,,,,,,,,,,,,,Styrelsesuppleant,Styrelsesuppleant,,,,,,,,,,,,,,,,,,,,,,,1975,1976,2,True,Styrelsesuppleant
"Söderberg, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1999,2,True,
"Brandinger, Rune",,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,,,,,,,,,,,,,,,,,,,,,,,1975,1975,1,True,Verkställande direktör
"GEER, CARL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1955,1,True,
"Hagström, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,1965,1,True,
"Kindström, Rolf",,,,,,,,,,,,,,,,,,,,,,,,,,arbetstagarrepresentant,,,,,,,,,,,,,,,,,,,,,1978,1978,1,True,arbetstagarrepresentant
"Rybeck, Ebbe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,1965,1,True,
"S
HOLM SCHO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,1982,1,True,
"S
Söderberg, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Styrelseordförande,,,,,,,,,,,,,1986,1986,1,True,Styrelseordförande
"Söderberg, Per-Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,1,True,
"Vansson, Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör,,,,,1994,1994,1,True,Verkställande direktör
"WALLENBERG, E.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1960,1,True,
