Name,1970,1972,1973,1974,1975,1976,1977,1978,1980,1981,1982,1983,1984,1985,First Year,Last Year,Tenure,Consecutive,Positions
"Ljung, Eric",,Disponent,Disponent,Verkst direktör,Verkst direktör,Verkst direktör,Verkst direktör,Verkst direktör,Ordinarie ledamot,,,Disponent,Disponent,Disponent,1970,1985,14,False,Ordinarie ledamot | Verkst direktör | Disponent
"Lüning, Alf",verkställande direktör,Verkst direktör,Verkst direktör,Verkst direktör,Verkst direktör,Verkst direktör,Verkst direktör,Verkställande direktör,"Ordinarie ledamot, Vice ordförande",vice ordförande,vice ordförande,vice ordförande,,,1970,1983,12,False,"verkställande direktör | Verkställande direktör | Verkst direktör | vice ordförande | Ordinarie ledamot, Vice ordförande"
"Wall, Anders",,,,Verkst direktör,Verkst direktör,Verkst direktör,Verkst direktör,Vice ordförande,"Ordinarie ledamot, Ordförande",Ordförande,ordförande,ordförande,"Direktör, Vice ordförande",Vice ordförande,1974,1985,11,False,"Ordinarie ledamot, Ordförande | Direktör, Vice ordförande | Verkst direktör | Vice ordförande | Ordförande | ordförande"
"Cavalli-Björkman, Hans",ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,,,,,,,1970,1978,8,False,Ordförande | ordförande
"Kristensson, Folke",,Professor,Professor,Professor,Professor,,Professor,Professor i företagsekonomi,,,,,,,1970,1978,8,False,Professor | Professor i företagsekonomi
"Hellestam, Sigvard",,v Verkst direktör,v Verkst direktör,v Verkst direktör,v Verkst direktör,,v Verkst direktör,,,,,,,,1970,1977,7,False,v Verkst direktör
"Ovin, Hans-Eric",,,,,,,Suppleant,Verkst direktör,Ordinarie ledamot,Verkst direktör,Verkst. direktör.,Verkst direktör,Ordförande,,1977,1984,7,False,Ordförande | Verkst. direktör. | Verkst direktör | Ordinarie ledamot | Suppleant
"Jansson, Lars",,,,,,,,,Suppleant,Personalrepresentant,Personalrepresentant,Personalrepresentant,Personalrepresentant,Personalrepresentant,1980,1985,6,True,Suppleant | Personalrepresentant
"Agrup, Sven",,,,,,,,,,,,Direktör AGA AB,"Direktör, AGA AB","Direktör, AGA AB",1981,1985,5,True,"Direktör, AGA AB | Direktör AGA AB"
"Brink, Stig",,,,,,,Suppleant,Personalrepresentant,Ordinarie ledamot,Personalrepresentant,Personalrepresentant,,,,1977,1982,5,False,Suppleant | Ordinarie ledamot | Personalrepresentant
"Sonesson, Sven",suppleant,suppleant,suppleant,Suppleant/Verkst direktör,,,Suppleant,,,,,,,,1970,1977,5,False,Suppleant | suppleant | Suppleant/Verkst direktör
"Kessman, Per-Olof",,,,,,,Personalrepresentant,Personalrepresentant,Ordinarie ledamot,Personalrepresentant,,,,,1977,1981,4,False,Ordinarie ledamot | Personalrepresentant
"Linders, Göran",,,,,,,,,Suppleant,Advokat,,Advokat,Advokat,,1980,1984,4,False,Suppleant | Advokat
"Raihle, Åke",,,,,,,,,Ordinarie ledamot,,,,,,1980,1983,4,True,Ordinarie ledamot
"Renell, Gösta",,,,,,,,,,,,Direktör AB Volvo,"VVD, AB Volvo",Ordförande,1982,1985,4,True,"Direktör AB Volvo | Ordförande | VVD, AB Volvo"
"Törnebohm, Stig",,Verkst direktör,Verkst direktör,Suppleant,,,Suppleant,,,,,,,,1972,1977,4,False,Suppleant | Verkst direktör
"Westerberg, Sven",,,,,,,,,Ordinarie ledamot,,,Verkst direktör,,,1980,1983,4,True,Ordinarie ledamot | Verkst direktör
"Löwhagen, Birger",,,,,,,,,,,,Verkst direktör,"VD, Skanska AB","VD, Skanska AB",1983,1985,3,True,"VD, Skanska AB | Verkst direktör"
"Malmborg, Bengt",,,,Adjungerad ledamot,,Personalrepresentant,Personalrepresentant,,,,,,,,1974,1977,3,False,Personalrepresentant | Adjungerad ledamot
"Meldgaard, Jörn",,,,,,,,,Suppleant,,,,,,1980,1983,3,False,Suppleant
"Nilsson, Lennart",,,,,,,,,,,,Vice verkst direktör,"VD, Wilh. Sonesson AB","VD, Wilh. Sonesson AB",1983,1985,3,True,"VD, Wilh. Sonesson AB | Vice verkst direktör"
"Persson, Kjell",,,,,,,,,,,,Personalrepresentant,Personalrepresentant,Personalrepresentant,1983,1985,3,True,Personalrepresentant
"Ahrland, Karin",,,,,,,Suppleant,,Suppleant,,,,,,1977,1980,2,False,Suppleant
"Carlsson, Lars",,,,,,,,,,,,Personalrepresentant,Personalrepresentant,,1983,1984,2,True,Personalrepresentant
"Friberg, Torsten",,,,,,,,,,,,Personalrepresentant,Personalrepresentant,,1983,1984,2,True,Personalrepresentant
"Larsson, Lars-Olof",,,,,,,,,Suppleant,Personalrepresentant,,,,,1980,1981,2,True,Suppleant | Personalrepresentant
"Lindblad, Per",,,,,,,,,,,,,"VD, AB Cardo","VD, AB Cardo",1984,1985,2,True,"VD, AB Cardo"
"Popper, Alfred",,,,Adjungerad ledamot,,Personalrepresentant,,,,,,,,,1974,1976,2,False,Personalrepresentant | Adjungerad ledamot
"Wallgren, Hans",,,,,,,Suppleant,,Suppleant,,,,,,1977,1980,2,False,Suppleant
"Althin, Anders",,,,,,,,,,,,,Direktör,,1984,1984,1,True,Direktör
"Anderlund, Knut",,,,,,,Suppleant,,,,,,,,1977,1977,1,True,Suppleant
"Dahlberg, Margareta",,,,,,,,,,,,,,,1985,1985,1,True,
